Timestamp,Post ID,Title,Status,Changes Made
2026-06-08T19:42:19.120444,big-milestone-cars24-brings-infosys-cfo-jayesh-sanghrajka-on-board-as-independent-director,'Big Milestone': Cars24 Brings Infosys CFO Jayesh Sanghrajka On Board As Independent Director,Success,Blocks/Media Fixed
2026-06-08T19:42:22.945583,intel-shares-rally-10-as-reports-say-google-nvidia-look-at-chipmaker-for-backup,"Intel Shares Rally 10% As Reports Say Google, Nvidia Look At Chipmaker For 'Backup'",Success,Blocks/Media Fixed
2026-06-08T19:42:25.427284,five-workers-killed-in-vizag-steel-plant-as-molten-iron-spills,Five Workers Killed In Vizag Steel Plant As Molten Iron Spills,Success,Blocks/Media Fixed
2026-06-08T19:42:27.827550,us-stock-market-today-s-p-500-nasdaq-rise-as-chip-stocks-rebound-iran-halts-israel-strikes,"US Stock Market Today: S&P 500, Nasdaq Rise As Chip Stocks Rebound, Iran Halts Israel Strikes",Success,Blocks/Media Fixed
2026-06-08T19:42:30.347069,india-coach-provides-big-update-on-rohit-sharma-hardik-pandya-s-fitness-heard-they-re-fine,"India Coach Provides Big Update On Rohit Sharma, Hardik Pandya's Fitness: ""Heard They're Fine""",Success,Blocks/Media Fixed
2026-06-08T19:42:32.784602,rbi-announces-redemption-price-for-sgb-2021-22-series-iii-investors-set-for-over-220-gains-check-details,"RBI announces redemption price for SGB 2021-22 Series III, investors set for over 220% gains; check details",Success,Blocks/Media Fixed
2026-06-08T19:42:35.184132,several-workers-dead-after-molten-metal-spills-in-mishap-at-vizag-steel-plant,Several workers dead after molten metal spills in mishap at Vizag Steel Plant,Success,Blocks/Media Fixed
2026-06-08T19:42:37.611238,i-got-an-offer-trinamool-mp-saugata-roy-on-rebels-planning-switch-to-bjp-led-nda-seeks-india-bloc-support-for-mamata,‘I got an offer’: Trinamool MP Saugata Roy on rebels planning switch to BJP-led NDA; seeks INDIA bloc support for Mamata,Success,Blocks/Media Fixed
2026-06-08T19:42:39.907827,explained-the-ustr-301-probe-which-must-be-resolved-before-india-us-trade-deal,Explained: The USTR 301 probe which must be resolved before India-US trade deal,Success,Blocks/Media Fixed
2026-06-08T19:42:52.799278,iran-halts-military-operations-against-israel-with-a-warning-as-trump-steps-in-5-updates,Iran halts military operations against Israel with a warning as Trump steps in: 5 updates,Success,Blocks/Media Fixed
2026-06-08T19:42:54.687051,do-you-have-to-pay-tax-on-your-nre-deposit-interest-key-rules-nris-should-know,Do you have to pay tax on your NRE deposit interest? Key rules NRIs should know,Success,Blocks/Media Fixed
2026-06-08T19:42:56.580468,bhavya-portal-launched-all-about-the-platform-key-to-implement-rs-33660-industrial-park-scheme,"'Bhavya' Portal Launched: All About The Platform Key To Implement Rs 33,660 Industrial Park Scheme",Success,Blocks/Media Fixed
2026-06-08T19:42:58.468224,piercing-the-himalayas-the-historic-zojila-tunnel-breakthrough-is-here,Piercing the Himalayas: The Historic Zojila Tunnel Breakthrough is Here,Success,Blocks/Media Fixed
2026-06-08T19:43:00.330560,openai-introduces-lockdown-mode-in-chatgpt-to-prevent-data-theft,OpenAI Introduces Lockdown Mode In ChatGPT To Prevent Data Theft,Success,Blocks/Media Fixed
2026-06-08T19:43:02.340798,land-resurvey-completed-in-over-6500-villages-andhra-cm-naidu,"Land resurvey completed in over 6,500 villages: Andhra CM Naidu",Success,Blocks/Media Fixed
2026-06-08T19:43:04.302845,bombay-bar-association-condemns-threats-violence-against-ex-judges-family,"Bombay Bar Association condemns threats, violence against ex-judge’s family",Success,Blocks/Media Fixed
2026-06-08T19:43:06.260756,virality-a-weapon-in-secret-war-on-india-how-pm-modi-s-strategy-works-in-many-battles-of-narrative-point-blank,Virality a weapon in secret war on India: How PM Modi's strategy works in many battles of narrative | Point Blank,Success,Blocks/Media Fixed
2026-06-08T19:43:08.137094,premarital-physical-relationship-not-a-reflection-of-character-supreme-court,Premarital physical relationship not a reflection of character: Supreme Court,Success,Blocks/Media Fixed
2026-06-08T19:43:10.062408,a-guide-to-government-securities-for-retail-investors-meaning-ways-to-invest-benefits-and-risks,"A guide to government securities for retail investors: Meaning, ways to invest, benefits and risks",Success,Blocks/Media Fixed
2026-06-08T19:43:11.957700,cagr-vs-xirr-which-is-better-for-analysing-mutual-fund-returns,CAGR vs XIRR: Which is better for analysing mutual fund returns?,Success,Blocks/Media Fixed
